time,open,high,low,close,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2023-06-02,4.610604256745441,4.9186,4.610604256745441,4.757149999999999,0,0,0,0,NaN,NaN,47.90314280250874,NaN,NaN,NaN,7.06225227680906,4.708283311163634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-05,4.68387712837272,5.14,4.68387712837272,4.96,0,0,0,0,NaN,NaN,44.255059783693476,NaN,NaN,NaN,7.06225227680906,4.792411250000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-06,4.82193856418636,4.82193856418636,4.6,4.7225,0,0,0,0,NaN,NaN,41.9116878044825,NaN,NaN,NaN,7.06225227680906,4.792411250000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-07,4.772219282093181,4.772219282093181,4.52,4.6416,0,0,0,0,NaN,NaN,39.816706251086224,NaN,NaN,NaN,7.06225227680906,4.792411250000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-08,4.7069096410465905,4.74,4.6,4.665,0,0,0,0,NaN,NaN,37.5739951377835,NaN,NaN,NaN,7.06225227680906,4.792411250000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-09,4.685954820523295,4.73,4.56,4.6675,0,0,0,0,NaN,NaN,35.17864886590222,NaN,NaN,NaN,7.06225227680906,4.792411250000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-12,4.676727410261648,4.676727410261648,4.45,4.55,0,0,0,0,NaN,NaN,33.58261538195826,NaN,NaN,NaN,7.06225227680906,4.748849999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-13,4.6133637051308245,4.69,4.42,4.5225,0,0,0,0,NaN,NaN,32.18529522885807,NaN,NaN,NaN,7.06225227680906,4.728721999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-14,4.567931852565412,4.567931852565412,4.45,4.515000000000001,0,0,0,0,NaN,NaN,31.261865622093747,NaN,NaN,NaN,7.06225227680906,4.71237368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-15,4.541465926282706,4.58,4.45,4.535,0,0,0,0,NaN,NaN,30.089059486394426,NaN,NaN,NaN,7.06225227680906,4.71237368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-16,4.538232963141353,4.56,4.32,4.4475,0,0,0,0,NaN,NaN,29.128234408797805,NaN,NaN,NaN,7.06225227680906,4.6578225488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-20,4.492866481570676,4.492866481570676,4.17,4.288225,0,0,0,0,NaN,NaN,29.348808294387467,NaN,NaN,NaN,7.06225227680906,4.543389842943999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-21,4.390545740785338,4.390545740785338,4.1701,4.2475249999999996,0,0,0,0,NaN,NaN,30.487757965200235,NaN,NaN,NaN,7.06225227680906,4.481712616502399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
