time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-05-24,9.726768518910635,9.726768518910635,9.72,9.72,9.735205192640088,9.790733664945513,9.72,0,0,NaN,205,0,0,0,0,NaN,NaN,0.9776013983804002,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.9776013983804002,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-05-25,9.723384259455319,9.735,9.72,9.723749999999999,9.73312243034189,9.7897110135723,9.723749999999999,0,0,NaN,206,0,0,0,0,NaN,NaN,0.16572510999131848,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.16572510999131848,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-05-26,9.723567129727659,9.723567129727659,9.7,9.7125,9.729372897552455,9.788532219471959,9.7125,0,1,NaN,207,0,0,0,0,NaN,NaN,0.00027453150731410186,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.00027453150731410186,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-05-27,9.71803356486383,9.725,9.7,9.71125,9.72607782527019,9.787352338258646,9.71125,0,0,NaN,208,0,0,0,0,NaN,NaN,0.16777285324039956,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.16777285324039956,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-06-01,9.714641782431915,9.75,9.71,9.7325,9.727245493402883,9.786514897979888,9.7325,0,0,NaN,209,0,0,0,0,NaN,NaN,0.79067544473327,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.79067544473327,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-06-02,9.723570891215957,9.723570891215957,9.72,9.72,9.725928130965995,9.78549940335424,9.72,0,0,NaN,210,0,0,0,0,NaN,NaN,0.8492533859218859,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.8492533859218859,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-06-03,9.721785445607978,9.73,9.721785445607978,9.73,9.72666847079036,9.784652084219061,9.73,0,0,NaN,211,0,0,0,0,NaN,NaN,0.731567726287363,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.731567726287363,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-06-06,9.725892722803989,9.74,9.725892722803989,9.7375,9.728637839737567,9.783932205070679,9.7375,0,0,NaN,212,0,0,0,0,NaN,NaN,0.5856682408665329,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.5856682408665329,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-06-07,9.731696361401994,9.731696361401994,9.73,9.73,9.728885505239829,9.783108812626852,9.73,0,0,NaN,213,0,0,0,0,NaN,NaN,0.5017599762852061,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.5017599762852061,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-06-08,9.730848180700997,9.75,9.73,9.7375,9.730451777014405,9.782412494876823,9.7375,0,0,NaN,214,0,0,0,0,NaN,NaN,0.528329214020371,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.528329214020371,NaN,NaN,NaN,9.78005,9.512337587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
