time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2020-08-10,158.4811909463396,164.65,153.067,158.72924999999998,155.7073018209015,133.50885972034516,158.72924999999998,0,0,5849,5848,0,0,0,0,NaN,NaN,67.54051576234441,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,67.54051576234441,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-11,158.6052204731698,162,147.3,154.925,155.56506512619214,133.83582369408035,154.925,0,0,5849,5848,0,0,0,0,NaN,NaN,68.9792483451849,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,68.9792483451849,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-12,156.76511023658492,156.76511023658492,140.9,148.3,154.2441441941572,134.0566508132547,148.3,0,0,5849,5848,0,0,0,0,NaN,NaN,69.85025821181178,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,69.85025821181178,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-13,152.53255511829246,153.496,145.6,148.474,153.1950270679468,134.27676301457905,148.474,0,0,5849,5848,0,0,0,0,NaN,NaN,69.81238434967098,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,69.81238434967098,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-14,150.50327755914623,150.50327755914623,142.201,145.37525,151.7732494192292,134.4462055639748,145.37525,0,0,5849,5848,0,0,0,0,NaN,NaN,69.48316001689327,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,69.48316001689327,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-17,147.9392637795731,149.6,144.4,146.525,150.8190222520966,134.63061463933394,146.525,0,0,5849,5848,0,0,0,0,NaN,NaN,69.21334932617737,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,69.21334932617737,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-18,147.23213188978656,156.4,143.2,148.425,150.38374547898812,134.8412159425502,148.425,0,0,5849,5848,0,0,0,0,NaN,NaN,68.71711285674442,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,68.71711285674442,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-19,147.82856594489328,157.4,136.9,148.38600000000002,150.020519028263,135.04800653884715,148.38600000000002,0,0,5849,5848,0,0,0,0,NaN,NaN,68.02014686144341,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,68.02014686144341,NaN,NaN,NaN,148.29517418235054,156.4651926474936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-20,148.10728297244665,148.10728297244665,139.1,142.75,148.69860647766973,135.16559422527695,142.75,0,0,5849,5848,0,0,0,0,NaN,NaN,66.98154614882559,NaN,NaN,NaN,148.29517418235054,153.86603875036957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,66.98154614882559,NaN,NaN,NaN,148.29517418235054,153.86603875036957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-21,145.42864148622334,145.42864148622334,132.7,139.175,146.96704166354797,135.2268065271811,139.175,0,0,5849,5848,0,0,0,0,NaN,NaN,65.34912949599556,NaN,NaN,NaN,148.29517418235054,149.75590177530304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,65.34912949599556,NaN,NaN,NaN,148.29517418235054,149.75590177530304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
