time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-19,11.181205679639955,12.1,11.181205679639955,11.7365,11.43957668812362,16.898204649879006,11.7365,0,0,3663,4109,0,0,0,0,NaN,NaN,65.43302675474533,NaN,NaN,NaN,14.7441095492742,11.426772499999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,65.43302675474533,NaN,NaN,NaN,14.7441095492742,11.426772499999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,11.458852839819977,12.45,11.21202,11.760505,11.497927290282961,16.819766487285435,11.760505,0,0,3663,4110,0,0,0,0,NaN,NaN,65.1871656883793,NaN,NaN,NaN,14.7441095492742,11.4484269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,65.1871656883793,NaN,NaN,NaN,14.7441095492742,11.4484269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,11.609678919909989,12.198,10.4,11.2745,11.457304146595149,16.735105930227643,11.2745,0,0,3663,4111,0,0,0,0,NaN,NaN,65.01800732773168,NaN,NaN,NaN,14.7441095492742,11.4484269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,65.01800732773168,NaN,NaN,NaN,14.7441095492742,11.4484269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,11.442089459954994,11.442089459954994,9.612,10.1435,11.218430665396031,16.634470725186,10.1435,0,0,3663,4112,0,0,0,0,NaN,NaN,65.05059644580291,NaN,NaN,NaN,14.7441095492742,10.90349235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,65.05059644580291,NaN,NaN,NaN,14.7441095492742,10.90349235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,10.792794729977498,10.792794729977498,9,9.4415,10.895352362596753,16.524654378236594,9.4415,0,0,3663,4113,0,0,0,0,NaN,NaN,65.11940256244276,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,65.11940256244276,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,10.11714736498875,10.11714736498875,9.204,9.481,10.638197387579162,16.417117670171912,9.481,0,0,3663,4114,0,0,0,0,NaN,NaN,65.7203812293419,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,65.7203812293419,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-27,9.799073682494374,9.9,9.252,9.519,10.43470695347386,16.3118028965815,9.519,0,0,3663,4115,0,0,0,0,NaN,NaN,67.1759583505494,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,67.1759583505494,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-28,9.659036841247186,10,9.216,9.599,10.282760234660431,16.209317356175678,9.599,0,0,3663,4116,0,0,0,0,NaN,NaN,68.89582619178236,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,68.89582619178236,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-29,9.629018420623593,9.8,9.1,9.4745,10.135803828358535,16.106495717150096,9.4745,0,0,3663,4117,0,0,0,0,NaN,NaN,71.03254764358357,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,71.03254764358357,NaN,NaN,NaN,14.7441095492742,10.519162579499998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-30,9.551759210311797,9.6,9.05,9.2435,9.973566768656983,16.00171715658292,9.2435,0,0,3663,4118,0,0,0,0,NaN,NaN,73.06516960739926,NaN,NaN,NaN,14.7441095492742,10.349562824729999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,73.06516960739926,NaN,NaN,NaN,14.7441095492742,10.349562824729999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
