time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-13,14.904023932598758,14.904023932598758,14,14.26625,14.860173125710844,11.42691215939429,14.26625,0,0,6771,6770,0,0,0,0,NaN,NaN,79.15395380012093,NaN,NaN,NaN,16.014881644416608,15.279591539999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,79.15395380012093,NaN,NaN,NaN,16.014881644416608,15.279591539999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,14.585136966299379,14.585136966299379,13.54,14.05445,14.713678011945236,11.467027240930255,14.05445,0,0,6771,6770,0,0,0,0,NaN,NaN,77.21604199712687,NaN,NaN,NaN,16.014881644416608,15.106537047599998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,77.21604199712687,NaN,NaN,NaN,16.014881644416608,15.106537047599998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,14.319793483149688,14.319793483149688,13.33,13.754999999999999,14.539372918864284,11.501958122748114,13.754999999999999,0,0,6771,6770,0,0,1,0,NaN,NaN,74.73429811632325,NaN,NaN,NaN,16.014881644416608,14.848648963315998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,1,0,NaN,NaN,74.73429811632325,NaN,NaN,NaN,16.014881644416608,14.848648963315998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,14.037396741574844,14.037396741574844,11.78,12.53605,14.175132388161687,11.517745784996235,12.53605,0,0,6771,6770,0,0,0,0,NaN,NaN,69.89821568231424,NaN,NaN,NaN,14.433395633931744,14.03479908771808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,69.89821568231424,NaN,NaN,NaN,14.433395633931744,14.03479908771808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,13.28672337078742,13.28672337078742,11.8,11.99,13.777835590314108,11.524955773011559,11.99,0,0,6771,6770,0,0,0,0,NaN,NaN,63.91126955944595,NaN,NaN,NaN,13.05331637248835,13.496007974560367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,63.91126955944595,NaN,NaN,NaN,13.05331637248835,13.496007974560367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,12.638361685393711,12.638361685393711,11.685,11.8175,13.421410937529725,11.529422097087718,11.8175,0,0,6771,6770,0,0,0,0,NaN,NaN,57.80027268679322,NaN,NaN,NaN,12.883841705373099,13.123151539139503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,57.80027268679322,NaN,NaN,NaN,12.883841705373099,13.123151539139503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,12.227930842696857,12.227930842696857,11.545,11.73875,13.115472585251593,11.532617942933706,11.73875,0,0,6771,6770,0,0,0,0,NaN,NaN,51.80764788057148,NaN,NaN,NaN,12.805735641719833,12.801320965920207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,51.80764788057148,NaN,NaN,NaN,12.805735641719833,12.801320965920207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,11.983340421348428,11.983340421348428,10.92,11.3,12.785386660660395,11.529066523957619,11.3,0,0,6771,6770,0,0,0,0,NaN,NaN,45.226645922475356,NaN,NaN,NaN,12.370954942198031,12.274278934099357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,45.226645922475356,NaN,NaN,NaN,12.370954942198031,12.274278934099357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,11.641670210674214,11.641670210674214,10.02,10.5775,12.383952722358504,11.514538790767427,10.5775,0,0,6771,6770,0,0,0,0,NaN,NaN,37.62050334354958,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,37.62050334354958,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,11.109585105337107,11.225,10.4448,10.71495,12.080497681929685,11.502331328312962,10.71495,0,0,6771,6770,0,0,0,0,NaN,NaN,30.62637690832013,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,30.62637690832013,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-27,10.912267552668553,11.3642,10.74,11.088550000000001,11.90014355794247,11.496014056124979,11.088550000000001,0,0,6771,6770,0,0,0,0,NaN,NaN,24.558410176223322,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,24.558410176223322,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-28,11.000408776334277,11.6,11.000408776334277,11.397499999999999,11.808753820134749,11.494510024733758,11.397499999999999,0,0,6771,6770,0,0,0,0,NaN,NaN,19.654454026086064,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,19.654454026086064,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-29,11.198954388167138,11.21,10.78,10.975000000000001,11.657162216473886,11.486578573974464,10.975000000000001,0,0,6771,6770,0,0,0,0,NaN,NaN,14.617574926475948,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,14.617574926475948,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-30,11.08697719408357,11.45,10.82,11.06,11.548587268024088,11.480065923990121,11.06,0,0,6771,6770,0,0,0,0,NaN,NaN,10.387216046194135,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,10.387216046194135,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-10-03,11.073488597041784,11.38,10.81,11.172500000000001,11.48020776474698,11.47537026102844,11.172500000000001,0,0,6771,6770,0,0,0,0,NaN,NaN,6.959253348159073,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,6.959253348159073,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-10-04,11.122994298520894,11.45,11.122994298520894,11.23,11.434715443883894,11.471624150173044,11.23,0,0,6771,6770,0,0,0,0,NaN,NaN,4.168834385890114,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,4.168834385890114,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-10-05,11.176497149260447,11.471,10.87,11.19025,11.39026718135955,11.467328361620783,11.19025,0,0,6771,6770,0,0,0,0,NaN,NaN,2.0729196338530333,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,2.0729196338530333,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-10-06,11.183373574630224,11.8,11.183373574630224,11.505,11.411127693839632,11.467903501138023,11.505,0,0,6771,6770,0,0,0,0,NaN,NaN,0.7932045533395857,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.7932045533395857,NaN,NaN,NaN,11.65728978183044,11.552436121892532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
