time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2020-08-04,7.297886366857915,7.5,7.255,7.39875,7.3309782660530205,6.781120879123268,7.39875,0,0,5148,5147,0,0,0,0,NaN,NaN,45.67573950034663,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,45.67573950034663,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-05,7.348318183428957,8.09,7.348318183428957,7.7925,7.414891308588835,6.796561781732073,7.7925,0,0,5148,5147,0,0,0,0,NaN,NaN,45.02564803941752,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,45.02564803941752,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-06,7.570409091714479,8.01,7.570409091714479,7.865049999999999,7.496738343390865,6.812874578957538,7.86505,0,0,5148,5147,0,0,0,0,NaN,NaN,44.593507883826575,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,44.593507883826575,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-07,7.717729545857239,8.125,7.7,7.87625,7.565740462774344,6.829109318210095,7.876249999999999,0,0,5148,5147,0,0,0,0,NaN,NaN,44.145173898278316,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,44.145173898278316,NaN,NaN,NaN,6.669316444114835,7.440650918960634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-10,7.796989772928619,8.68,7.796989772928619,8.245000000000001,7.689242196815373,6.850725969840475,8.245000000000001,0,0,5148,5147,0,0,0,0,NaN,NaN,43.92737764104466,NaN,NaN,NaN,6.669316444114835,7.66025875354772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,43.92737764104466,NaN,NaN,NaN,6.669316444114835,7.66025875354772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-11,8.02099488646431,8.87,8.02099488646431,8.4425,7.82619816103076,6.875027863430697,8.4425,0,0,5148,5147,0,0,0,0,NaN,NaN,44.15970416665982,NaN,NaN,NaN,6.669316444114835,7.902541915302699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,44.15970416665982,NaN,NaN,NaN,6.669316444114835,7.902541915302699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-12,8.231747443232155,8.231747443232155,6.9,7.324999999999999,7.735071222661531,6.881897667042442,7.324999999999999,0,0,5148,5147,0,0,0,0,NaN,NaN,40.903587444568004,NaN,NaN,NaN,6.669316444114835,7.74965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,40.903587444568004,NaN,NaN,NaN,6.669316444114835,7.74965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-13,7.778373721616077,7.778373721616077,6.98,7.1,7.619603727632161,6.885227473652481,7.1,0,0,5148,5147,0,0,0,0,NaN,NaN,36.08278195233485,NaN,NaN,NaN,6.669316444114835,7.6210355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,36.08278195233485,NaN,NaN,NaN,6.669316444114835,7.6210355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-14,7.4391868608080385,7.4391868608080385,6.54,6.882875,7.4856530498808596,6.885191558024199,6.882875,0,0,5148,5147,0,0,0,0,NaN,NaN,29.68094263645981,NaN,NaN,NaN,6.669316444114835,7.47469712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,29.68094263645981,NaN,NaN,NaN,6.669316444114835,7.47469712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-17,7.161030930404019,7.161030930404019,6.48,6.646249999999999,7.333034313538885,6.8815435953062725,6.646249999999999,0,0,5148,5147,0,0,0,0,NaN,NaN,22.261381504356272,NaN,NaN,NaN,6.669316444114835,7.292472504199999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,22.261381504356272,NaN,NaN,NaN,6.669316444114835,7.292472504199999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-18,6.90364046520201,6.90364046520201,6.43,6.624999999999999,7.204300801986361,6.877626899194726,6.624999999999999,0,0,5148,5147,0,0,0,0,NaN,NaN,16.029748681709695,NaN,NaN,NaN,6.669316444114835,7.203025803695999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,16.029748681709695,NaN,NaN,NaN,6.669316444114835,7.203025803695999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-19,6.764320232601005,6.86,6.6,6.685,7.109882474352477,6.87468603050473,6.685,0,0,5148,5147,0,0,0,0,NaN,NaN,12.08411436244421,NaN,NaN,NaN,6.669316444114835,7.203025803695999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,12.08411436244421,NaN,NaN,NaN,6.669316444114835,7.203025803695999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-20,6.724660116300502,6.724660116300502,6.51,6.60875,7.018767479015663,6.870625938435955,6.608750000000001,0,0,5148,5147,0,0,0,0,NaN,NaN,9.97182966145255,NaN,NaN,NaN,6.669316444114835,7.1069781831415995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,9.97182966145255,NaN,NaN,NaN,6.669316444114835,7.1069781831415995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-21,6.666705058150251,6.666705058150251,6.28,6.4875,6.922173391921906,6.864776687467467,6.4875,0,0,5148,5147,0,0,0,0,NaN,NaN,8.658880293810634,NaN,NaN,NaN,6.669316444114835,6.945759610176112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,8.658880293810634,NaN,NaN,NaN,6.669316444114835,6.945759610176112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-24,6.577102529075125,6.62,6.23,6.4425,6.8349600479361055,6.858329715139719,6.4425,0,0,5148,5147,0,0,0,0,NaN,NaN,7.084722892020434,NaN,NaN,NaN,6.669316444114835,6.822300092039129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,7.084722892020434,NaN,NaN,NaN,6.669316444114835,6.822300092039129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-25,6.509801264537563,6.509801264537563,6.15,6.317500000000001,6.740876402856814,6.850072772923846,6.317500000000001,0,0,5148,5147,0,0,0,0,NaN,NaN,3.71934932928722,NaN,NaN,NaN,6.669316444114835,6.653648069949739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,3.71934932928722,NaN,NaN,NaN,6.669316444114835,6.653648069949739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2020-08-26,6.413650632268782,6.715,6.34,6.44375,6.686853420519212,6.843869371810505,6.44375,0,0,5148,5147,0,0,0,0,NaN,NaN,1.277294341578147,NaN,NaN,NaN,6.669316444114835,6.653648069949739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,1.277294341578147,NaN,NaN,NaN,6.669316444114835,6.653648069949739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
