time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-16,1053.1399647772928,1078.2,990,1025.55,1032.1665413990142,2161.132618881134,1025.55,0,0,1049,1370,0,0,0,0,NaN,NaN,73.8684733983792,NaN,NaN,NaN,17033.91197952533,1030.186681425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,73.8684733983792,NaN,NaN,NaN,17033.91197952533,1030.186681425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,1039.3449823886463,1039.3449823886463,810.45,888.4125,1006.0294429628299,2141.7017773714983,888.4125,0,0,1049,1371,0,0,0,0,NaN,NaN,74.02996886024683,NaN,NaN,NaN,16818.735500723604,974.968875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,74.02996886024683,NaN,NaN,NaN,16818.735500723604,974.968875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,963.8787411943231,963.8787411943231,823.5,841.3875,976.0945442423154,2121.8496509994143,841.3875,0,0,1049,1372,0,0,0,0,NaN,NaN,74.31220295200299,NaN,NaN,NaN,16693.287199705435,948.15430875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,74.31220295200299,NaN,NaN,NaN,16693.287199705435,948.15430875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,902.6331205971616,902.6331205971616,810.9,825.1875,948.6568998346216,2102.053282281866,825.1875,0,0,1049,1373,0,0,0,0,NaN,NaN,74.34163439370687,NaN,NaN,NaN,16598.63036601214,933.162300225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,74.34163439370687,NaN,NaN,NaN,16598.63036601214,933.162300225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,863.9103102985807,863.9103102985807,699.3,770.175,916.2056453192358,2081.7192627050435,770.175,0,0,1049,1374,0,0,0,0,NaN,NaN,74.1117046840867,NaN,NaN,NaN,16466.19099189719,893.46275570475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,74.1117046840867,NaN,NaN,NaN,16466.19099189719,893.46275570475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,817.0426551492903,817.0426551492903,688.5,730.8,882.4955279884657,2061.0945411370276,730.8,0,0,1049,1375,0,0,0,0,NaN,NaN,74.00414264743655,NaN,NaN,NaN,16349.460660170245,856.61822502018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,74.00414264743655,NaN,NaN,NaN,16349.460660170245,856.61822502018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,773.9213275746451,773.9213275746451,697.5,723.7125000000001,853.6258865360174,2040.6764947074546,723.7125000000001,0,0,1049,1376,0,0,0,0,NaN,NaN,74.85858640828997,NaN,NaN,NaN,16264.948543485687,833.670178767153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,74.85858640828997,NaN,NaN,NaN,16264.948543485687,833.670178767153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-27,748.8169137873226,748.8169137873226,675,715.6125,828.5325435294689,2020.4465100554323,715.6125,0,0,1049,1377,0,0,0,0,NaN,NaN,76.68332805006702,NaN,NaN,NaN,16179.788261263897,809.0987965890654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,76.68332805006702,NaN,NaN,NaN,16179.788261263897,809.0987965890654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-28,732.2147068936613,801,724.5,754.0875,814.9970810695654,2001.1127847110745,754.0875,0,0,1049,1378,0,0,0,0,NaN,NaN,78.35030355729104,NaN,NaN,NaN,16141.689523082576,809.0987965890654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,78.35030355729104,NaN,NaN,NaN,16141.689523082576,809.0987965890654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-29,743.1511034468306,828,715.5,768.0375,806.4589754205535,1982.2872078452565,768.0375,0,0,1049,1379,0,0,0,0,NaN,NaN,80.42961543388985,NaN,NaN,NaN,16079.685887967162,809.0987965890654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,80.42961543388985,NaN,NaN,NaN,16079.685887967162,809.0987965890654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
