time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2024-02-09,10.280000000000001,11.24,9.74,10.385000000000002,NaN,NaN,10.385000000000002,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,10.385000000000002,10.385000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,10.385000000000002,10.385000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-12,10.332500000000001,12.22,10.332500000000001,11.247525,NaN,NaN,11.247525,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.247525,10.829200375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.247525,10.829200375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-13,10.7900125,12.44,10.7900125,11.5975,NaN,NaN,11.5975,0,0,NaN,NaN,0,0,0,0,12.44,NaN,NaN,NaN,NaN,NaN,11.5975,11.02198723875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,12.44,NaN,NaN,NaN,NaN,NaN,11.5975,11.02198723875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-14,11.19375625,12.38,11.03,11.6775,NaN,NaN,11.6775,0,0,NaN,NaN,0,0,0,0,12.38,NaN,NaN,NaN,NaN,NaN,11.6775,11.098918004425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,12.38,NaN,NaN,NaN,NaN,NaN,11.6775,11.098918004425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-15,11.435628125000001,12.74,11.435628125000001,12.12125,NaN,NaN,12.12125,0,0,NaN,NaN,0,0,0,0,12.74,NaN,NaN,NaN,NaN,NaN,12.12125,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,12.74,NaN,NaN,NaN,NaN,NaN,12.12125,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-16,11.7784390625,12.39,11.53,12.067499999999999,NaN,NaN,12.067499999999999,0,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,12.067499999999999,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,12.067499999999999,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-20,11.92296953125,12.33,11.77,12.037500000000001,NaN,NaN,12.037500000000001,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,12.037500000000001,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,12.037500000000001,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-21,11.980234765625001,11.980234765625001,11.1,11.517500000000002,NaN,NaN,11.517500000000002,0,0,NaN,NaN,0,0,0,0,NaN,11.1,NaN,NaN,NaN,NaN,11.517500000000002,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,11.1,NaN,NaN,NaN,NaN,11.517500000000002,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-22,11.748867382812502,12.03,11.4,11.6725,NaN,NaN,11.6725,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.6725,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.6725,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-23,11.71068369140625,12,11.7,11.83,11.6153775,NaN,11.83,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.83,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.83,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-26,11.770341845703125,12,11.41,11.765,11.64258159090909,NaN,11.765,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.765,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.765,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-27,11.767670922851563,12.01,11.44,11.7575,11.663475847107438,NaN,11.7575,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.7575,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.7575,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-28,11.762585461425783,12.1,11.3,11.697499999999998,11.669662056724267,NaN,11.697499999999998,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.697499999999998,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.697499999999998,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-02-29,11.73004273071289,11.86,11.34,11.675,11.67063259186531,NaN,11.675,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.675,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,11.675,11.39283413402675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
