time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-13,429.99162001860475,429.99162001860475,376.5,390.525,428.79455733937743,665.0015371493887,390.525,0,0,977,1297,0,0,0,0,NaN,NaN,43.14689876740506,NaN,NaN,NaN,724.4655321839077,435.37537499999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,43.14689876740506,NaN,NaN,NaN,724.4655321839077,435.37537499999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,410.25831000930236,410.25831000930236,352.5,381.75,420.24100145949063,660.677086200543,381.75,0,0,977,1298,0,0,0,0,NaN,NaN,41.73775147576051,NaN,NaN,NaN,724.4655321839077,429.51073875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,41.73775147576051,NaN,NaN,NaN,724.4655321839077,429.51073875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,396.0041550046512,396.0041550046512,345,355.125,408.40172846685596,656.0121688539699,355.125,0,0,977,1299,0,0,0,0,NaN,NaN,40.67905367249511,NaN,NaN,NaN,724.4655321839077,412.533844425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,40.67905367249511,NaN,NaN,NaN,724.4655321839077,412.533844425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,375.5645775023256,375.5645775023256,306,325.125,393.2605051092458,650.9604563523826,325.125,0,0,977,1300,0,0,0,0,NaN,NaN,40.44165671174382,NaN,NaN,NaN,724.4655321839077,391.01704842674997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,40.44165671174382,NaN,NaN,NaN,724.4655321839077,391.01704842674997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,350.3447887511628,350.3447887511628,280.5,295.5,375.4858678166556,645.533579156163,295.5,0,0,977,1301,0,0,0,0,NaN,NaN,39.3293581697402,NaN,NaN,NaN,724.4655321839077,366.52000261553997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,39.3293581697402,NaN,NaN,NaN,724.4655321839077,366.52000261553997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,322.9223943755814,322.9223943755814,270,284.8125,358.99980094090006,640.0263871079773,284.8125,0,0,977,1302,0,0,0,0,NaN,NaN,38.227112043202034,NaN,NaN,NaN,724.4655321839077,349.721689723209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,38.227112043202034,NaN,NaN,NaN,724.4655321839077,349.721689723209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,303.86744718779073,303.86744718779073,267,280.5,344.7271098607364,634.5374346330464,280.5,0,0,977,1303,0,0,0,0,NaN,NaN,37.2155967077414,NaN,NaN,NaN,724.4655321839077,335.4936605730314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,37.2155967077414,NaN,NaN,NaN,724.4655321839077,335.4936605730314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,292.18372359389537,292.18372359389537,223.5,249.375,327.3903626133298,628.6570921195647,249.37500000000003,0,0,977,1304,0,0,0,0,NaN,NaN,37.71047208365785,NaN,NaN,NaN,724.4655321839077,305.1143668526948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,37.71047208365785,NaN,NaN,NaN,724.4655321839077,305.1143668526948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,270.7793617969477,270.7793617969477,213,224.25,308.63756941090617,622.4829380414034,224.25,0,0,977,1305,0,0,0,0,NaN,NaN,38.98694474282202,NaN,NaN,NaN,724.4655321839077,276.15941880804803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,38.98694474282202,NaN,NaN,NaN,724.4655321839077,276.15941880804803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,247.51468089847384,265.5,225.75,241.6875,296.46482951801414,616.669267231611,241.6875,0,0,977,1306,0,0,0,0,NaN,NaN,38.90228986587642,NaN,NaN,NaN,724.4655321839077,276.15941880804803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,38.90228986587642,NaN,NaN,NaN,724.4655321839077,276.15941880804803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
