time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-19,5.7470316654755855,5.7470316654755855,3.3,4.394825,5.194230738648135,8.282926486019642,4.394825,0,0,131,165,0,0,0,0,NaN,NaN,74.06713322867118,NaN,NaN,NaN,4.394825,5.453116035360713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,74.06713322867118,NaN,NaN,NaN,4.394825,5.453116035360713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,5.070928332737793,5.070928332737793,2.83,3.1975000000000002,4.831188786166655,8.205286386996441,3.1975000000000002,0,0,131,166,0,0,0,0,NaN,NaN,75.50200633013928,NaN,NaN,NaN,3.1975000000000002,4.49096220581332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,75.50200633013928,NaN,NaN,NaN,3.1975000000000002,4.49096220581332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,4.1342141663688965,4.1342141663688965,2.8296,3.0098999999999996,4.500045370499991,8.125967510859091,3.0098999999999996,0,0,131,167,0,0,0,0,NaN,NaN,76.89452748348006,NaN,NaN,NaN,3.0098999999999996,3.980983544069324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,76.89452748348006,NaN,NaN,NaN,3.0098999999999996,3.980983544069324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,3.572057083184448,3.572057083184448,2.34,2.5975,4.154128030409083,8.041563426723839,2.5975,0,0,131,168,0,0,0,0,NaN,NaN,78.22019644100932,NaN,NaN,NaN,2.5975,3.386279974526447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,78.22019644100932,NaN,NaN,NaN,2.5975,3.386279974526447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,3.084778541592224,3.084778541592224,2.37,2.456525,3.845472933971068,7.95629566448378,2.456525,0,0,131,169,0,0,0,0,NaN,NaN,79.51936765802597,NaN,NaN,NaN,2.456525,3.006456183696926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,79.51936765802597,NaN,NaN,NaN,2.456525,3.006456183696926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,2.7706517707961122,2.7706517707961122,2.2704,2.3775999999999997,3.5785869459763284,7.871124738308455,2.3775999999999997,0,0,131,170,0,0,0,0,NaN,NaN,80.76222087328122,NaN,NaN,NaN,2.3775999999999997,2.7371301470551246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,80.76222087328122,NaN,NaN,NaN,2.3775999999999997,2.7371301470551246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-27,2.5741258853980558,2.5741258853980558,2.11,2.2399999999999998,3.3352075012533597,7.785153368257944,2.2399999999999998,0,0,131,171,0,0,0,0,NaN,NaN,81.70333884636982,NaN,NaN,NaN,2.2399999999999998,2.4884314852919722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,81.70333884636982,NaN,NaN,NaN,2.2399999999999998,2.4884314852919722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-28,2.407062942699028,2.407062942699028,2.0911,2.145275,3.1188561373891126,7.699048355002098,2.145275,0,0,131,172,0,0,0,0,NaN,NaN,82.85052868218345,NaN,NaN,NaN,2.145275,2.3079616919105845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,82.85052868218345,NaN,NaN,NaN,2.145275,2.3079616919105845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-29,2.276168971349514,2.276168971349514,1.96,2.062475,2.926786839682001,7.612993799963898,2.062475,0,0,131,173,0,0,0,0,NaN,NaN,83.93166201604404,NaN,NaN,NaN,2.062475,2.168600079793504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,83.93166201604404,NaN,NaN,NaN,2.062475,2.168600079793504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-30,2.169321985674757,2.2,2.02,2.1174999999999997,2.7796437779216374,7.529093131262159,2.1174999999999997,0,0,131,174,0,0,0,0,NaN,2.02,84.99180010228228,NaN,NaN,NaN,2.1174999999999997,2.168600079793504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,2.02,84.99180010228228,NaN,NaN,NaN,2.1174999999999997,2.168600079793504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
