time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-13,4.188324341690619,4.31,4.15,4.2075000000000005,4.2526953916332655,4.399302386335055,4.2075000000000005,0,0,4366,4365,0,0,0,0,NaN,NaN,8.783090572834054,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,8.783090572834054,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,4.19791217084531,4.41,4.1321,4.258025,4.253664411336308,4.397145479673451,4.258025,0,0,4366,4365,0,0,0,0,NaN,NaN,9.66012394851989,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,9.66012394851989,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,4.227968585422655,4.45,4.1601,4.307525,4.263457245638797,4.395777228075383,4.307525,0,0,4366,4365,0,0,0,0,NaN,NaN,10.936738065396094,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,10.936738065396094,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,4.2677467927113275,4.2677467927113275,3.92,4.0525,4.22510138279538,4.390536354364309,4.0525,0,0,4366,4365,0,0,0,0,NaN,NaN,11.96261989212907,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,11.96261989212907,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,4.160123396355663,4.160123396355663,3.97,4.02,4.187810222287129,4.384879310786228,4.02,0,0,4366,4394,0,0,0,0,NaN,NaN,14.256689462099814,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,14.256689462099814,NaN,NaN,NaN,4.266988047940934,4.57622241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,4.0900616981778315,4.0900616981778315,3.84,3.92,4.13911745459856,4.377781916728423,3.92,0,0,4366,4395,0,0,0,0,NaN,NaN,16.959440559945023,NaN,NaN,NaN,4.266988047940934,4.522775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,16.959440559945023,NaN,NaN,NaN,4.266988047940934,4.522775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,4.005030849088916,4.04,3.85,3.925,4.100187008307913,4.370869215709668,3.925,0,0,4366,4396,0,0,0,0,NaN,NaN,19.957841322261952,NaN,NaN,NaN,4.266988047940934,4.522775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,19.957841322261952,NaN,NaN,NaN,4.266988047940934,4.522775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,3.965015424544458,3.98,3.77,3.8675,4.057880279524656,4.363184189515627,3.8675,0,0,4366,4397,0,0,0,0,NaN,NaN,21.855306541955734,NaN,NaN,NaN,4.266988047940934,4.47765425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,21.855306541955734,NaN,NaN,NaN,4.266988047940934,4.47765425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,3.916257712272229,3.95,3.7,3.8075,4.012356592338355,4.354700461431419,3.8075,0,0,4366,4398,0,0,0,0,NaN,NaN,21.77909046642593,NaN,NaN,NaN,4.266988047940934,4.409244995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,21.77909046642593,NaN,NaN,NaN,4.266988047940934,4.409244995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,3.861878856136115,3.9,3.7,3.7675,3.9678372119131993,4.345735568890481,3.7674999999999996,0,0,4366,4399,0,0,0,0,NaN,NaN,19.447383528597086,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,19.447383528597086,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-27,3.8146894280680574,3.9499,3.7,3.8099749999999997,3.9391349915653446,4.337556018220397,3.8099749999999997,0,0,4366,4400,0,0,0,0,NaN,NaN,17.217300922186002,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,17.217300922186002,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-28,3.8123322140340283,3.92,3.75,3.83,3.9192922658261913,4.329807071377338,3.83,0,0,4366,4401,0,0,0,0,NaN,NaN,15.445812479076853,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,15.445812479076853,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-29,3.821166107017014,3.9,3.7301,3.797525,3.8971527629487017,4.321680627539515,3.797525,0,0,4366,4402,0,0,0,0,NaN,NaN,12.867422380916787,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,12.867422380916787,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-30,3.809345553508507,3.89,3.71,3.7800000000000002,3.8758522605943924,4.313410694294637,3.7800000000000007,0,0,4366,4403,0,0,0,0,NaN,NaN,10.514443596024904,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,10.514443596024904,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-10-03,3.7946727767542536,4,3.78,3.8549999999999995,3.872060940486321,4.306412057740521,3.8549999999999995,0,0,4366,4404,0,0,0,0,NaN,NaN,9.025495895702244,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,9.025495895702244,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-10-04,3.8248363883771264,4.12,3.8248363883771264,4,3.8953225876706266,4.30173401105746,4,0,0,4366,4405,0,0,0,0,NaN,NaN,7.666369777833827,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,7.666369777833827,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-10-05,3.912418194188563,4,3.8101,3.907525,3.897541208094149,4.295715552873376,3.907525,0,0,4366,4406,0,0,0,0,NaN,NaN,5.958747504151101,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,5.958747504151101,NaN,NaN,NaN,4.266988047940934,4.3332879454499995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
