time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-13,31.601667765524976,32.07,30.79,31.3775,30.858466062356666,24.536648952792497,31.3775,0,0,1715,1714,0,0,0,0,NaN,NaN,92.29332823051726,NaN,NaN,NaN,26.378002073117717,30.4506875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,92.29332823051726,NaN,NaN,NaN,26.378002073117717,30.4506875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,31.48958388276249,33.2,31,32.09,31.082381323746365,24.651967289391084,32.09,0,0,1715,1714,0,0,0,0,NaN,NaN,92.8793490986504,NaN,NaN,NaN,26.378002073117717,30.4506875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,92.8793490986504,NaN,NaN,NaN,26.378002073117717,30.4506875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,31.789791941381246,34.479,31.789791941381246,33.65475000000001,31.550084719428845,24.78941435367519,33.65475000000001,0,0,1715,1714,0,0,0,0,NaN,NaN,93.41327552990889,NaN,NaN,NaN,26.378002073117717,31.286313125000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,93.41327552990889,NaN,NaN,NaN,26.378002073117717,31.286313125000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,32.72227097069063,34.26,32.72227097069063,33.75,31.95006931589633,24.926217187970227,33.75,0,0,1715,1714,0,0,0,0,NaN,NaN,94.16908877934489,NaN,NaN,NaN,30.17048140228206,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,94.16908877934489,NaN,NaN,NaN,30.17048140228206,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,33.236135485345315,34.53,32.79,33.747499999999995,32.27687489482427,25.06089326143633,33.747499999999995,0,0,1715,1714,0,0,0,0,NaN,NaN,94.71778990664397,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,94.71778990664397,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,33.49181774267265,34.1,31.89,32.9825,32.405170368492584,25.181833822330432,32.9825,0,0,1715,1714,0,0,0,0,NaN,NaN,95.16191087351307,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,95.16191087351307,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,33.23715887133633,33.23715887133633,29.84,31.3,32.20423030149393,25.275240939546762,31.3,0,0,1715,1714,0,0,0,0,NaN,NaN,95.24510077366489,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,95.24510077366489,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,32.268579435668165,32.268579435668165,28.65,29.93,31.790733883040488,25.346305963370476,29.93,0,0,1715,1714,0,0,0,0,NaN,NaN,94.58624421775392,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,94.58624421775392,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,31.099289717834083,32.22,29.96,31.009999999999998,31.648782267942217,25.43277457461673,31.009999999999998,0,0,1715,1714,0,0,0,0,NaN,NaN,94.14151522204371,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,94.14151522204371,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,31.05464485891704,32.8266,31.05464485891704,32.112675,31.73312640104363,25.534757787218002,32.112675,0,0,1715,1714,0,0,0,0,NaN,NaN,93.81502055349463,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,93.81502055349463,NaN,NaN,NaN,30.528625071264273,31.478901837499997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
