time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2021-01-21,136887.85714184138,137928.60902124,130370.87702008,134181.233570665,135596.03341627514,NaN,134181.233570665,0,0,NaN,NaN,0,0,0,0,NaN,NaN,88.05893400480115,NaN,NaN,NaN,134181.233570665,134529.8279445235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,88.05893400480115,NaN,NaN,NaN,134181.233570665,134529.8279445235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-01-22,135534.5453562532,135534.5453562532,126592.0110195,129992.99042002,134577.29832604693,NaN,129992.99042002,0,0,NaN,NaN,0,0,0,0,NaN,NaN,88.04034096320424,NaN,NaN,NaN,129992.99042002,133915.13842312395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,88.04034096320424,NaN,NaN,NaN,129992.99042002,133915.13842312395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-01-25,132763.7678881366,136039.17602095,127851.63301969,132102.8572703425,134127.3999522825,NaN,132102.8572703425,0,0,NaN,NaN,0,0,0,0,NaN,NaN,87.95288941020215,NaN,NaN,NaN,132102.8572703425,133915.13842312395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,87.95288941020215,NaN,NaN,NaN,132102.8572703425,133915.13842312395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-01-26,132433.31257923954,136165.13822097,127221.82201959,132984.59267048,133919.6168101366,NaN,132984.59267048,0,0,NaN,NaN,0,0,0,0,NaN,NaN,87.8125915202117,NaN,NaN,NaN,132984.59267048,133915.13842312395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,87.8125915202117,NaN,NaN,NaN,132984.59267048,133915.13842312395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-01-27,132708.95262485975,133016.08322049,122813.14501891,129772.5565699875,133165.6058573822,NaN,129772.5565699875,0,0,NaN,NaN,0,0,0,0,NaN,NaN,87.34954637565548,NaN,NaN,NaN,129772.5565699875,133683.9505502641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,87.34954637565548,NaN,NaN,NaN,129772.5565699875,133683.9505502641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-01-28,131240.75459742363,138495.43892133,124702.5780192,128560.1703947975,132328.2539550941,NaN,128560.1703947975,0,0,NaN,NaN,0,0,0,0,NaN,NaN,86.88136157887425,NaN,NaN,NaN,128560.1703947975,132806.7022385968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,86.88136157887425,NaN,NaN,NaN,128560.1703947975,132806.7022385968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-01-29,129900.46249611056,136291.10042099,116766.95941798,125741.766169365,131130.71072132516,NaN,125741.766169365,0,0,NaN,NaN,0,0,0,0,NaN,NaN,86.1663887351604,NaN,NaN,NaN,125741.766169365,130888.48406979414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,86.1663887351604,NaN,NaN,NaN,125741.766169365,130888.48406979414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-02-01,127821.11433273778,134023.78082064,127821.11433273778,130622.8014201175,131038.36357565103,NaN,130622.80142011748,0,0,NaN,NaN,0,0,0,0,NaN,NaN,85.63100407136636,NaN,NaN,NaN,130622.8014201175,130888.48406979414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,85.63100407136636,NaN,NaN,NaN,130622.8014201175,130888.48406979414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-02-02,129221.95787642764,137676.6846212,129221.95787642764,133960.79972063,131569.71560201084,NaN,133960.79972063,0,0,NaN,NaN,0,0,0,0,NaN,NaN,85.15364587903788,NaN,NaN,NaN,133960.79972063,130888.48406979414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,85.15364587903788,NaN,NaN,NaN,133960.79972063,130888.48406979414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-02-03,131591.3787985288,137928.60902124,131591.3787985288,137204.3263711275,132594.19028730478,NaN,137204.3263711275,0,0,NaN,NaN,0,0,0,0,NaN,NaN,84.79135718973218,NaN,NaN,NaN,137204.3263711275,132160.799882352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,84.79135718973218,NaN,NaN,NaN,137204.3263711275,132160.799882352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
