time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-12,5.920799496655674,5.920799496655674,5.84,5.85,5.980390659595601,6.268083035433116,5.85,0,0,3178,3448,0,0,0,0,NaN,NaN,32.0237450056019,NaN,NaN,NaN,6.406356643243796,6.1043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,32.0237450056019,NaN,NaN,NaN,6.406356643243796,6.1043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-13,5.885399748327837,5.885399748327837,5.8,5.83,5.953046903305492,6.261394744815816,5.83,0,0,3178,3449,0,0,0,0,NaN,NaN,35.17603596031694,NaN,NaN,NaN,6.406356643243796,6.089475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,35.17603596031694,NaN,NaN,NaN,6.406356643243796,6.089475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,5.857699874163918,5.86,5.68,5.77,5.919765648159039,6.2538925349713,5.77,0,0,3178,3450,0,0,0,0,NaN,NaN,36.23745371284219,NaN,NaN,NaN,6.406356643243796,6.050790749999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,36.23745371284219,NaN,NaN,NaN,6.406356643243796,6.050790749999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,5.813849937081959,5.813849937081959,5.6,5.74,5.887080984857396,6.246046847414486,5.74,0,0,3178,3451,0,0,0,0,NaN,NaN,35.81653964280155,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,35.81653964280155,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,5.77692496854098,5.88,5.6,5.77,5.865793533065142,6.238778956614265,5.77,0,0,3178,3452,0,0,0,0,NaN,NaN,35.04391157572175,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,35.04391157572175,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,5.77346248427049,6.4,5.68,6.005,5.891103799780571,6.235209812238475,6.005,0,0,3178,3453,0,0,0,0,NaN,NaN,32.18264076382674,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,32.18264076382674,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,5.889231242135245,6.28,5.889231242135245,6.165,5.940903108911376,6.234137906708116,6.165,0,0,3178,3454,0,0,0,0,NaN,NaN,27.79876245881898,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,27.79876245881898,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,6.027115621067622,6.3196,6,6.1349,5.97617527092749,6.232622824162954,6.1349,0,0,3178,3455,0,0,0,0,NaN,NaN,23.915424882302975,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,23.915424882302975,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,6.081007810533811,6.16,5.88,6.01,5.982325221667947,6.2292240024200085,6.01,0,0,3178,3456,0,0,0,0,NaN,NaN,20.975709957533624,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,20.975709957533624,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,6.045503905266905,6.16,5.93,6.035,5.9919024540919565,6.226258750474665,6.035,0,0,3178,3457,0,0,0,0,NaN,NaN,17.605548760361817,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,17.605548760361817,NaN,NaN,NaN,6.406356643243796,6.018043305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
