time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-13,80.36084829667229,80.36084829667229,75.1,77.325,81.27916056294445,95.74640132126177,77.325,0,0,NaN,341,0,0,0,0,NaN,NaN,19.33150145246591,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,19.33150145246591,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,78.84292414833615,81.8,75.6,78.9,80.84658591513637,95.48920435452494,78.9,0,0,NaN,342,0,0,0,0,NaN,NaN,23.270305175803323,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,23.270305175803323,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,78.87146207416808,83.2,73.5,78.025,80.33357029420249,95.22257528041006,78.025,0,0,NaN,343,0,0,0,0,NaN,NaN,27.829622213279233,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,27.829622213279233,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,78.44823103708404,78.44823103708404,68.8,71.35000000000001,78.70019387707477,94.85810848223585,71.35000000000001,0,0,NaN,344,0,0,0,0,NaN,NaN,31.909813395558217,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,31.909813395558217,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,74.89911551854203,74.89911551854203,65.6,68.825,76.904704081243,94.46065644433912,68.825,0,0,NaN,345,0,0,0,0,NaN,NaN,34.80407957991609,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,34.80407957991609,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,71.86205775927101,71.86205775927101,66.714,68.42850000000001,75.36357606647155,94.06321894137211,68.42850000000001,0,0,NaN,346,0,0,0,0,NaN,NaN,36.40684600899966,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,36.40684600899966,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,70.14527887963551,70.14527887963551,64.7,66.625,73.77474405438582,93.64431483539697,66.625,0,0,NaN,347,0,0,0,0,NaN,NaN,37.055057364193374,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,37.055057364193374,NaN,NaN,NaN,90.36975180757679,86.3312775878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,68.38513943981775,68.38513943981775,60.9,63.425000000000004,71.89297240813386,93.18295125012374,63.425000000000004,0,0,NaN,348,0,0,0,0,NaN,NaN,36.43166518528177,NaN,NaN,NaN,90.36975180757679,82.624375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,36.43166518528177,NaN,NaN,NaN,90.36975180757679,82.624375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,65.90506971990888,65.90506971990888,59.5,61.074999999999996,69.9260683339277,92.69275352111421,61.074999999999996,0,0,NaN,349,0,0,0,0,NaN,NaN,34.228664377982604,NaN,NaN,NaN,90.04023412625787,80.83814375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,34.228664377982604,NaN,NaN,NaN,90.04023412625787,80.83814375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,63.490034859954434,65.4,61,62.35,68.54860136412266,92.22950537575369,62.35,0,0,NaN,350,0,0,0,0,NaN,NaN,31.22150352128765,NaN,NaN,NaN,76.00281863269777,80.83814375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,31.22150352128765,NaN,NaN,NaN,76.00281863269777,80.83814375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-27,62.92001742997722,65.6,62,63.65,67.65794657064582,91.79317704940631,63.65,0,0,NaN,351,0,0,0,0,NaN,NaN,28.372055699631836,NaN,NaN,NaN,76.00281863269777,80.83814375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,28.372055699631836,NaN,NaN,NaN,76.00281863269777,80.83814375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
