time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2021-12-27,9.760000000000002,9.8,9.72,9.760000000000002,NaN,NaN,9.760000000000002,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.760000000000002,9.760000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.760000000000002,9.760000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-12-28,9.760000000000002,9.84,9.760000000000002,9.82,NaN,NaN,9.82,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.82,9.7909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.82,9.7909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-12-29,9.790000000000001,9.88,9.790000000000001,9.870000000000001,NaN,NaN,9.870000000000001,0,0,NaN,NaN,0,0,0,0,9.88,NaN,NaN,NaN,NaN,NaN,9.870000000000001,9.817523000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,9.88,NaN,NaN,NaN,NaN,NaN,9.870000000000001,9.817523000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-12-30,9.830000000000002,9.95,9.81,9.9,NaN,NaN,9.9,0,0,NaN,NaN,0,0,0,0,9.95,NaN,NaN,NaN,NaN,NaN,9.9,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,9.95,NaN,NaN,NaN,NaN,NaN,9.9,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2021-12-31,9.865000000000002,9.9,9.865000000000002,9.8975,NaN,NaN,9.8975,0,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,9.8975,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,9.8975,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-01-03,9.881250000000001,9.93,9.86,9.879999999999999,NaN,NaN,9.879999999999999,0,0,NaN,NaN,0,0,0,0,NaN,9.86,NaN,NaN,NaN,NaN,9.879999999999999,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,9.86,NaN,NaN,NaN,NaN,9.879999999999999,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-01-04,9.880625,9.89,9.880625,9.89,NaN,NaN,9.89,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.89,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.89,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-01-05,9.885312500000001,9.9,9.87,9.885,NaN,NaN,9.885,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.885,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.885,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-01-06,9.885156250000001,9.885156250000001,9.87,9.877500000000001,NaN,NaN,9.877500000000001,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.877500000000001,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.877500000000001,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-01-11,9.881328125000001,9.881328125000001,9.88,9.88,9.866000000000001,NaN,9.88,0,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.88,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,9.88,9.83657162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
