time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-13,2.8174163148151727,2.84,2.76,2.7824999999999998,2.781391830406519,3.7566637567489116,2.7824999999999998,0,0,1517,2091,0,0,0,0,NaN,NaN,28.237787010942128,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,28.237787010942128,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,2.7999581574075862,2.7999581574075862,2.65,2.7184,2.7699387703326064,3.740812401684043,2.7184,0,0,1517,2092,0,0,0,0,NaN,NaN,26.159505349664563,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,26.159505349664563,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,2.7591790787037933,3.1,2.66,2.86,2.7863135393630416,3.7273648841010805,2.86,0,0,1517,2093,0,0,0,0,NaN,NaN,23.608377485430047,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,23.608377485430047,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,2.8095895393518964,3.04,2.8095895393518964,2.9400000000000004,2.814256532206125,3.7153440461758733,2.9400000000000004,0,0,1517,2094,0,0,0,0,NaN,NaN,20.20397169956656,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,20.20397169956656,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,2.8747947696759484,3.02,2.805,2.90625,2.8309826172595565,3.7029914653182265,2.90625,0,0,1517,2095,0,0,0,0,NaN,NaN,16.549190512787142,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,16.549190512787142,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,2.890522384837974,2.91,2.745,2.85125,2.8346675959396372,3.6899877788248183,2.85125,0,0,1517,2096,0,0,0,0,NaN,NaN,12.896167537002972,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,12.896167537002972,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,2.870886192418987,2.870886192418987,2.72,2.7800000000000002,2.8247280330415214,3.676094835636653,2.7800000000000002,0,0,1517,2097,0,0,0,0,NaN,NaN,9.60022229989466,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,9.60022229989466,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,2.8254430962094936,2.8254430962094936,2.63,2.6849999999999996,2.7993229361248813,3.6609636167719715,2.685,0,0,1517,2098,0,0,0,0,NaN,NaN,6.776032904435524,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,6.776032904435524,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,2.7552215481047466,2.7552215481047466,2.4,2.5375,2.7517187659203572,3.6438115004853766,2.5375,0,0,1517,2099,0,0,0,0,NaN,NaN,4.797317901654431,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,4.797317901654431,NaN,NaN,NaN,3.0736115173449194,2.9448999000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,2.6463607740523734,2.6463607740523734,2.25,2.3075,2.670951717571201,3.62340979818789,2.3075,0,0,1517,2100,0,0,0,0,NaN,NaN,4.0883237191786215,NaN,NaN,NaN,3.0736115173449194,2.823325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,4.0883237191786215,NaN,NaN,NaN,3.0736115173449194,2.823325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
