time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2022-09-13,12.025852936044412,12.025852936044412,10.8,11.32,11.573533246513504,15.508279448437662,11.32,0,0,217,466,0,0,0,0,NaN,NaN,0.9647921339915133,NaN,NaN,NaN,14.981123511701975,11.571000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.9647921339915133,NaN,NaN,NaN,14.981123511701975,11.571000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-14,11.672926468022206,11.672926468022206,10.4,10.72,11.418345383511049,15.43517594540808,10.72,0,0,217,467,0,0,0,0,NaN,NaN,0.8421120484432254,NaN,NaN,NaN,14.981123511701975,11.571000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.8421120484432254,NaN,NaN,NaN,14.981123511701975,11.571000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-15,11.196463234011103,11.196463234011103,9.2,10.120000000000001,11.182282586509041,15.354028221050704,10.120000000000001,0,0,217,468,0,0,0,0,NaN,NaN,0.5683785644583768,NaN,NaN,NaN,14.981123511701975,11.571000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.5683785644583768,NaN,NaN,NaN,14.981123511701975,11.571000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-16,10.658231617005551,10.658231617005551,9.12,9.739999999999998,10.920049388961942,15.268317866530847,9.739999999999998,0,0,217,469,0,0,0,0,NaN,NaN,0.35953837968023966,NaN,NaN,NaN,14.981123511701975,11.427799999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.35953837968023966,NaN,NaN,NaN,14.981123511701975,11.427799999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-19,10.199115808502775,10.199115808502775,9.2,9.718,10.701494954605225,15.183580189179231,9.718,0,0,217,470,0,0,0,0,NaN,NaN,0.031995917723822,NaN,NaN,NaN,14.981123511701975,11.365835999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.031995917723822,NaN,NaN,NaN,14.981123511701975,11.365835999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-20,9.958557904251387,9.958557904251387,9.212,9.543,10.490859508313367,15.09746446110016,9.543,0,0,217,471,0,0,0,0,NaN,NaN,0.006361287794176038,NaN,NaN,NaN,14.981123511701975,11.174215839999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.006361287794176038,NaN,NaN,NaN,14.981123511701975,11.174215839999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-21,9.750778952125692,9.750778952125692,9.04,9.299999999999999,10.274339597710936,15.008953553297104,9.299999999999999,0,0,217,472,0,0,0,0,NaN,NaN,0.10818810680241156,NaN,NaN,NaN,14.981123511701975,10.894971414399999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.10818810680241156,NaN,NaN,NaN,14.981123511701975,10.894971414399999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-22,9.525389476062845,9.525389476062845,8.88,9.08,10.057186943581675,14.918435178437607,9.079999999999998,0,0,217,473,0,0,0,0,NaN,NaN,0.11370603368233535,NaN,NaN,NaN,14.981123511701975,10.580374844672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.11370603368233535,NaN,NaN,NaN,14.981123511701975,10.580374844672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-23,9.302694738031423,9.302694738031423,8.32,8.72,9.814062044748644,14.82380258029352,8.72,0,0,217,474,0,0,0,0,NaN,NaN,0.0046548515381300126,NaN,NaN,NaN,14.981123511701975,10.1483186179712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.0046548515381300126,NaN,NaN,NaN,14.981123511701975,10.1483186179712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2022-09-26,9.011347369015713,9.52,8.64,9,9.666050763885254,14.73488956380049,9,0,0,217,475,0,0,0,0,NaN,NaN,0.12617242880587218,NaN,NaN,NaN,14.981123511701975,10.1483186179712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.12617242880587218,NaN,NaN,NaN,14.981123511701975,10.1483186179712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
