time,open,high,low,close,EMA10,EMA130,VWAP,Bull_window,Bear_window,Plot,Plot,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2024-08-08T09:46:00-04:00,14.641837243931125,14.72,14.641837243931125,14.72,14.715452737448391,14.791614151595304,14.68805601317957,0,0,19018,19665,0,0,0,0,NaN,NaN,0.056360001201056935,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.056360001201056935,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T09:51:00-04:00,14.680918621965564,14.9,14.680918621965564,14.79125,14.72923405791232,14.791608592028965,14.7346657633243,0,0,19018,19666,0,0,0,0,NaN,NaN,0.11907632186182483,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.11907632186182483,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T09:54:00-04:00,14.736084310982783,14.736084310982783,14.695,14.695,14.723009683746444,14.790133651692644,14.731379453189728,0,1,19018,19667,0,0,0,0,NaN,NaN,0.1587609459305034,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.1587609459305034,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T10:01:00-04:00,14.715542155491391,14.76,14.715542155491391,14.76,14.729735195792545,14.789673595941611,14.73356924254017,0,0,19018,19668,0,0,0,0,NaN,NaN,0.1916378458899159,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.1916378458899159,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T10:04:00-04:00,14.737771077745695,14.785,14.737771077745695,14.785,14.739783342012082,14.789602243331816,14.741771704180065,0,0,19018,19669,0,0,0,0,NaN,NaN,0.39892191588375503,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.39892191588375503,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T10:28:00-04:00,14.761385538872847,14.761385538872847,14.61,14.61,14.716186370737157,14.78686022434965,14.733809667673716,0,1,19018,19670,0,0,0,0,NaN,NaN,0.5326522892609775,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.5326522892609775,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T10:36:00-04:00,14.685692769436423,14.685692769436423,14.66,14.665,14.706879757875855,14.784999762909198,14.726390835579515,0,0,19018,19671,0,0,0,0,NaN,NaN,0.3229332248547777,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.3229332248547777,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T10:41:00-04:00,14.67534638471821,14.67534638471821,14.6,14.6,14.6874470746257,14.782175339047988,14.719925831202048,0,0,19018,19672,0,0,0,0,NaN,NaN,0.04043516796588812,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.04043516796588812,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T10:42:00-04:00,14.637673192359106,14.637673192359106,14.61,14.61,14.673365788330118,14.779546707917484,14.714576642335768,0,0,19018,19673,0,0,0,0,NaN,NaN,0.00004090085739783818,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.00004090085739783818,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-08-08T10:48:00-04:00,14.623836596179553,14.655,14.595,14.61875,14.663435644997369,14.777091796346225,14.6989633401222,0,0,19018,19674,0,0,0,0,NaN,NaN,0.0713143897226406,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,NaN,NaN,0.0713143897226406,NaN,NaN,NaN,14.610228485797997,14.728813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
